Driver,Stint,Compound,laps,start_lap,end_lap,mean_pace_s,median_pace_s
ALB,2.0,MEDIUM,15,4.0,20.0,85.578,85.51
ALB,3.0,MEDIUM,15,23.0,39.0,85.17873333333334,85.095
ALB,4.0,SOFT,23,42.0,65.0,84.70469565217391,85.062
ALO,1.0,MEDIUM,17,4.0,20.0,85.5855294117647,85.431
ALO,2.0,HARD,39,23.0,66.0,84.97061538461539,84.833
BOT,1.0,MEDIUM,22,4.0,25.0,85.97986363636363,85.8835
BOT,2.0,HARD,33,28.0,65.0,84.95436363636364,84.884
GAS,1.0,SOFT,12,4.0,15.0,85.96475,85.9545
GAS,2.0,MEDIUM,25,18.0,45.0,85.00908,84.941
GAS,3.0,SOFT,17,48.0,65.0,84.35329411764705,83.717
HAM,1.0,MEDIUM,15,4.0,18.0,84.73226666666666,84.666
HAM,2.0,MEDIUM,27,21.0,50.0,83.73511111111111,83.611
HAM,3.0,SOFT,14,53.0,66.0,82.21585714285713,81.895
LAT,1.0,MEDIUM,14,4.0,17.0,86.31907142857143,86.3635
LAT,2.0,MEDIUM,18,20.0,38.0,85.67511111111111,85.5155
LAT,3.0,SOFT,13,41.0,55.0,85.13384615384615,84.856
LAT,4.0,SOFT,10,58.0,69.0,84.126,83.5845
LEC,1.0,MEDIUM,17,4.0,20.0,84.15758823529413,84.141
LEC,2.0,MEDIUM,15,23.0,38.0,83.61653333333334,83.453
LEC,3.0,HARD,11,42.0,53.0,83.56754545454545,83.509
LEC,4.0,SOFT,12,56.0,70.0,82.264,82.039
MAG,1.0,MEDIUM,2,4.0,5.0,85.2945,85.2945
MAG,2.0,HARD,26,8.0,33.0,86.14138461538461,85.9945
MAG,3.0,MEDIUM,26,37.0,65.0,84.64111538461538,84.332
MAG,4.0,SOFT,1,69.0,69.0,86.554,86.554
MSC,1.0,MEDIUM,17,4.0,20.0,85.93541176470589,85.973
MSC,2.0,HARD,17,23.0,40.0,85.99547058823529,85.712
MSC,3.0,MEDIUM,22,43.0,69.0,84.33968181818182,83.80199999999999
NOR,1.0,SOFT,8,4.0,11.0,84.7835,84.6825
NOR,2.0,MEDIUM,24,16.0,40.0,84.63366666666667,84.6685
NOR,3.0,HARD,22,44.0,66.0,83.8569090909091,83.832
OCO,1.0,MEDIUM,19,4.0,22.0,85.53873684210525,85.396
OCO,2.0,HARD,38,25.0,66.0,85.01152631578948,85.009
PER,1.0,SOFT,14,4.0,17.0,84.8582142857143,84.9305
PER,2.0,MEDIUM,20,20.0,40.0,84.0851,83.9245
PER,3.0,MEDIUM,23,44.0,70.0,82.70434782608696,82.658
RIC,1.0,SOFT,10,4.0,13.0,85.5581,85.5675
RIC,2.0,MEDIUM,27,17.0,45.0,84.94570370370371,84.924
RIC,3.0,HARD,17,49.0,65.0,84.85070588235294,84.419
RUS,1.0,SOFT,12,4.0,15.0,84.24791666666667,84.136
RUS,2.0,MEDIUM,20,18.0,38.0,83.98585,83.912
RUS,3.0,MEDIUM,24,42.0,66.0,83.40058333333333,83.2825
SAI,1.0,MEDIUM,13,4.0,16.0,84.21446153846153,84.107
SAI,2.0,MEDIUM,26,19.0,46.0,83.96261538461538,83.9065
SAI,3.0,SOFT,18,49.0,66.0,83.10866666666668,82.96350000000001
STR,1.0,SOFT,10,4.0,13.0,85.8081,85.827
STR,2.0,MEDIUM,28,16.0,45.0,84.97221428571429,84.9325
STR,3.0,SOFT,18,48.0,65.0,83.95700000000001,83.58099999999999
TSU,1.0,SOFT,9,4.0,12.0,85.78633333333333,85.513
TSU,2.0,MEDIUM,18,15.0,32.0,85.73933333333333,85.59049999999999
TSU,3.0,SOFT,14,35.0,50.0,85.19935714285714,85.013
TSU,4.0,SOFT,9,53.0,64.0,84.76877777777777,84.68
VER,1.0,SOFT,12,4.0,15.0,84.55816666666666,84.5855
VER,2.0,MEDIUM,19,18.0,37.0,83.67136842105263,83.709
VER,3.0,MEDIUM,26,40.0,67.0,82.86,82.83850000000001
VET,1.0,SOFT,11,4.0,14.0,85.69490909090909,85.504
VET,2.0,MEDIUM,27,17.0,45.0,85.07703703703703,84.969
VET,3.0,MEDIUM,18,48.0,65.0,83.83622222222222,83.4205
ZHO,1.0,MEDIUM,23,4.0,26.0,85.87634782608696,85.822
ZHO,2.0,HARD,17,29.0,49.0,85.32958823529412,85.187
ZHO,3.0,SOFT,13,53.0,65.0,82.5443076923077,82.466
